"","motorists","cyclists","windowsize","showgame","count"
"1",26,26,100,"F",11
"2",38,37,120,"F",14
"3",58,52,140,"F",24
"4",70,63,160,"F",20
"5",94,91,180,"F",31
"6",82,98,200,"F",21
"7",103,101,220,"F",34
"8",153,141,240,"F",34
"9",174,154,260,"F",49
"10",192,211,280,"F",56
"11",28,19,100,"F",11
"12",33,32,120,"F",14
"13",46,55,140,"F",13
"14",53,68,160,"F",14
"15",114,85,180,"F",21
"16",103,116,200,"F",40
"17",127,139,220,"F",43
"18",139,117,240,"F",21
"19",156,167,260,"F",42
"20",176,196,280,"F",35
"21",21,36,100,"F",14
"22",26,42,120,"F",7
"23",39,49,140,"F",14
"24",74,58,160,"F",24
"25",80,86,180,"F",32
"26",93,98,200,"F",27
"27",120,120,220,"F",42
"28",131,129,240,"F",33
"29",179,156,260,"F",44
"30",199,202,280,"F",64
"31",31,20,100,"F",10
"32",42,40,120,"F",17
"33",57,37,140,"F",12
"34",57,73,160,"F",15
"35",70,80,180,"F",20
"36",113,98,200,"F",29
"37",117,124,220,"F",39
"38",150,139,240,"F",47
"39",153,165,260,"F",33
"40",195,189,280,"F",40
"41",22,30,100,"F",9
"42",50,32,120,"F",11
"43",60,65,140,"F",19
"44",63,65,160,"F",21
"45",79,91,180,"F",25
"46",93,92,200,"F",34
"47",90,108,220,"F",34
"48",144,143,240,"F",45
"49",190,153,260,"F",50
"50",196,175,280,"F",44
"51",35,24,100,"F",8
"52",30,31,120,"F",6
"53",48,48,140,"F",13
"54",60,57,160,"F",18
"55",63,95,180,"F",27
"56",99,106,200,"F",49
"57",131,132,220,"F",39
"58",134,116,240,"F",30
"59",169,162,260,"F",42
"60",223,192,280,"F",52
"61",23,36,100,"F",17
"62",30,36,120,"F",14
"63",35,57,140,"F",18
"64",69,66,160,"F",23
"65",100,69,180,"F",21
"66",102,115,200,"F",23
"67",127,109,220,"F",22
"68",144,126,240,"F",28
"69",175,183,260,"F",48
"70",194,210,280,"F",55
"71",24,32,100,"F",9
"72",32,35,120,"F",9
"73",54,50,140,"F",9
"74",74,72,160,"F",30
"75",79,75,180,"F",21
"76",107,104,200,"F",44
"77",126,131,220,"F",39
"78",137,147,240,"F",28
"79",178,170,260,"F",44
"80",203,179,280,"F",46
"81",24,24,100,"F",7
"82",33,34,120,"F",17
"83",46,49,140,"F",22
"84",64,58,160,"F",20
"85",88,71,180,"F",25
"86",102,106,200,"F",38
"87",130,140,220,"F",41
"88",143,134,240,"F",27
"89",163,165,260,"F",41
"90",185,202,280,"F",59
"91",27,26,100,"F",13
"92",28,38,120,"F",8
"93",47,52,140,"F",16
"94",58,59,160,"F",26
"95",98,82,180,"F",30
"96",94,100,200,"F",31
"97",120,118,220,"F",31
"98",139,158,240,"F",42
"99",167,162,260,"F",39
"100",209,202,280,"F",52
"101",13,26,100,"F",7
"102",38,57,120,"F",29
"103",50,58,140,"F",17
"104",56,68,160,"F",19
"105",81,88,180,"F",25
"106",92,91,200,"F",31
"107",102,118,220,"F",28
"108",140,147,240,"F",32
"109",169,166,260,"F",38
"110",195,213,280,"F",60
"111",21,26,100,"F",15
"112",39,45,120,"F",24
"113",54,57,140,"F",22
"114",60,78,160,"F",33
"115",83,72,180,"F",22
"116",89,113,200,"F",31
"117",127,118,220,"F",30
"118",153,137,240,"F",33
"119",144,153,260,"F",37
"120",183,184,280,"F",44
"121",25,28,100,"F",15
"122",36,30,120,"F",8
"123",51,48,140,"F",23
"124",59,72,160,"F",21
"125",77,84,180,"F",25
"126",93,100,200,"F",24
"127",104,105,220,"F",34
"128",145,137,240,"F",34
"129",173,171,260,"F",41
"130",193,158,280,"F",30
"131",17,21,100,"F",3
"132",37,40,120,"F",17
"133",44,41,140,"F",11
"134",74,72,160,"F",24
"135",80,89,180,"F",25
"136",84,99,200,"F",29
"137",104,124,220,"F",29
"138",132,159,240,"F",37
"139",144,183,260,"F",35
"140",179,189,280,"F",40
"141",17,23,100,"F",10
"142",32,27,120,"F",10
"143",55,41,140,"F",15
"144",61,58,160,"F",13
"145",76,80,180,"F",22
"146",93,111,200,"F",33
"147",112,137,220,"F",37
"148",158,155,240,"F",40
"149",175,156,260,"F",27
"150",177,179,280,"F",36
"151",22,25,100,"F",11
"152",35,39,120,"F",15
"153",43,48,140,"F",18
"154",58,71,160,"F",19
"155",79,91,180,"F",37
"156",83,93,200,"F",38
"157",103,103,220,"F",26
"158",135,134,240,"F",28
"159",149,178,260,"F",27
"160",216,186,280,"F",40
"161",26,20,100,"F",8
"162",47,34,120,"F",16
"163",52,36,140,"F",7
"164",62,79,160,"F",27
"165",82,70,180,"F",28
"166",90,93,200,"F",29
"167",131,127,220,"F",33
"168",117,163,240,"F",32
"169",193,168,260,"F",38
"170",193,212,280,"F",51
"171",26,16,100,"F",4
"172",40,50,120,"F",24
"173",51,58,140,"F",24
"174",49,67,160,"F",13
"175",72,78,180,"F",28
"176",105,93,200,"F",38
"177",117,115,220,"F",29
"178",143,171,240,"F",34
"179",173,172,260,"F",58
"180",198,197,280,"F",46
"181",21,28,100,"F",11
"182",44,34,120,"F",10
"183",47,42,140,"F",12
"184",68,56,160,"F",22
"185",79,81,180,"F",26
"186",114,95,200,"F",26
"187",120,111,220,"F",37
"188",143,152,240,"F",35
"189",174,138,260,"F",29
"190",181,184,280,"F",48
"191",32,26,100,"F",13
"192",21,29,120,"F",2
"193",52,42,140,"F",7
"194",71,56,160,"F",22
"195",83,71,180,"F",24
"196",98,123,200,"F",44
"197",134,133,220,"F",34
"198",142,154,240,"F",47
"199",157,164,260,"F",28
"200",190,213,280,"F",52
"201",25,22,100,"F",10
"202",39,27,120,"F",9
"203",45,45,140,"F",13
"204",63,63,160,"F",12
"205",93,81,180,"F",29
"206",97,92,200,"F",22
"207",124,119,220,"F",27
"208",153,133,240,"F",36
"209",180,164,260,"F",36
"210",167,181,280,"F",37
"211",28,30,100,"F",13
"212",38,49,120,"F",13
"213",47,50,140,"F",6
"214",82,63,160,"F",22
"215",69,79,180,"F",23
"216",99,95,200,"F",35
"217",127,100,220,"F",19
"218",162,149,240,"F",44
"219",181,162,260,"F",44
"220",187,183,280,"F",38
"221",22,19,100,"F",5
"222",51,54,120,"F",23
"223",44,38,140,"F",7
"224",60,69,160,"F",19
"225",67,79,180,"F",23
"226",98,103,200,"F",46
"227",141,124,220,"F",38
"228",152,133,240,"F",39
"229",158,158,260,"F",39
"230",195,224,280,"F",49
