"","motorists","cyclists","windowsize","showgame","count","pred"
"248",126,151,240,"F",131,110.086061038922
"249",195,167,260,"F",143,149.428836186852
"250",225,202,280,"F",164,176.999572761148
"251",20,34,100,"F",27,18.9958063770068
"252",36,39,120,"F",35,28.6799897762689
"253",42,63,140,"F",40,38.8394091072692
"254",57,60,160,"F",48,45.6335662105341
"255",82,78,180,"F",82,63.6649221918728
"256",91,103,200,"F",72,76.5745971585147
"257",120,120,220,"F",93,96.6372317908792
"258",156,140,240,"F",113,120.993704464352
"259",154,179,260,"F",133,133.774153107886
"260",185,201,280,"F",133,157.098130104644
"261",28,24,100,"F",20,19.9300738303375
"262",41,35,120,"F",29,29.5587499813632
"263",51,50,140,"F",39,39.4046261742796
"264",60,58,160,"F",47,46.3587144237854
"265",88,87,180,"F",66,69.6809536838201
"266",110,86,200,"F",82,79.2274442611815
"267",126,130,220,"F",118,103.066124199828
"268",146,158,240,"F",107,122.649509205891
"269",156,167,260,"F",113,130.756587205042
"270",207,194,280,"F",166,165.420030029417
"271",19,29,100,"F",23,17.1765070820476
"272",37,32,120,"F",20,26.723445956505
"273",34,52,140,"F",20,31.4561698907484
"274",65,61,160,"F",49,49.7236687192198
"275",98,82,180,"F",82,72.4043444335448
"276",86,102,200,"F",72,73.7121215416467
"277",111,129,220,"F",99,95.216282481777
"278",136,148,240,"F",106,114.219033127921
"279",185,168,260,"F",140,145.177365445718
"280",182,195,280,"F",136,153.508449272089
"281",23,23,100,"F",20,17.3888978205914
"282",42,36,120,"F",32,30.3619646571958
"283",48,54,140,"F",41,39.310151495926
"284",54,67,160,"F",43,46.3794658145542
"285",84,69,180,"F",57,61.1971526112379
"286",106,95,200,"F",74,80.9604228553982
"287",134,129,220,"F",122,106.569391891184
"288",173,131,240,"F",112,125.007710160259
"289",162,156,260,"F",126,129.791737118528
"290",181,184,280,"F",145,149.14369971062
"291",24,26,100,"F",24,18.825998915024
"292",25,31,120,"F",15,20.8437570464902
"293",42,49,140,"F",31,34.7733356010922
"294",74,49,160,"F",47,48.7967819071792
"295",65,88,180,"F",48,58.4244110577561
"296",90,83,200,"F",60,69.1763640544397
"297",138,105,220,"F",78,99.0684986161931
"298",152,141,240,"F",117,119.501872058944
"299",161,164,260,"F",112,132.189034017002
"300",199,186,280,"F",139,158.599260132511
"301",33,20,100,"F",18,20.2932576256606
"302",43,38,120,"F",39,31.5337165723664
"303",56,46,140,"F",45,40.1707789176068
"304",68,51,160,"F",42,47.2137947281309
"305",100,95,180,"F",102,78.1870793491301
"306",95,109,200,"F",85,80.5527120483888
"307",120,116,220,"F",107,95.2063431434435
"308",136,149,240,"F",127,114.557982095887
"309",179,206,260,"F",174,155.704532344883
"310",192,205,280,"F",145,162.02618480406
"311",23,22,100,"F",15,17.0520779967717
"312",37,38,120,"F",35,28.8225960033543
"313",50,37,140,"F",29,34.1084026492013
"314",66,57,160,"F",36,48.7044460483418
"315",69,81,180,"F",58,58.3806662377574
"316",80,108,200,"F",63,72.3891696495871
"317",91,119,220,"F",63,81.5978195303673
"318",150,145,240,"F",124,120.027157329765
"319",158,159,260,"F",135,128.941295857403
"320",184,193,280,"F",125,153.815974909129
"321",22,19,100,"F",14,15.5672946284186
"322",39,36,120,"F",44,29.0453915958842
"323",47,58,140,"F",47,40.0581645644512
"324",57,69,160,"F",52,48.5280631927954
"325",83,79,180,"F",82,64.488707507325
"326",105,97,200,"F",100,81.2440695451509
"327",130,108,220,"F",79,96.7842043662922
"328",141,163,240,"F",135,121.777396727905
"329",160,156,260,"F",127,128.830821979524
"330",188,207,280,"F",177,160.683418508985
"331",29,32,100,"F",31,23.0994409885529
"332",36,34,120,"F",25,26.9997546082424
"333",38,53,140,"F",33,33.903259329533
"334",56,72,160,"F",51,48.9246706409181
"335",92,77,180,"F",73,67.8154147492094
"336",96,103,200,"F",88,79.0643374361618
"337",119,121,220,"F",86,96.5064594804799
"338",142,149,240,"F",111,117.555005448411
"339",173,152,260,"F",126,133.459718152738
"340",184,196,280,"F",142,154.863497500725
"341",21,27,100,"F",15,17.6717627746076
"342",37,41,120,"F",35,29.802591077345
"343",38,48,140,"F",29,32.4567589890696
"344",63,51,160,"F",46,45.1053277974641
"345",72,69,180,"F",40,55.8064185809443
"346",102,93,200,"F",76,78.3814748564133
"347",119,112,220,"F",90,93.2794380442463
"348",142,151,240,"F",134,118.246737648704
"349",161,145,260,"F",100,125.21741563221
"350",200,196,280,"F",168,162.783698382327
"351",28,22,100,"F",21,19.1814311590976
"352",35,40,120,"F",29,28.5166610408962
"353",50,35,140,"F",20,33.2844945373061
"354",60,61,160,"F",46,47.3989515314816
"355",85,96,180,"F",80,71.2713514455992
"356",121,96,200,"F",98,88.0354607921714
"357",116,129,220,"F",94,97.7592002331378
"358",136,149,240,"F",115,114.557982095887
"359",163,150,260,"F",116,128.041477850988
"360",182,204,280,"F",164,156.586678905463
"361",20,22,100,"F",9,15.6844148648128
"362",39,33,120,"F",16,27.9543459862862
"363",56,54,140,"F",56,43.1073951964462
"364",56,49,160,"F",22,41.3032056556305
"365",80,81,180,"F",62,63.7819019146857
"366",101,94,200,"F",72,78.2884616568843
"367",117,132,220,"F",116,99.2615217349586
"368",155,123,240,"F",105,113.855130852986
"369",180,148,260,"F",139,135.069905754145
"370",192,220,280,"F",156,167.139940796194
"371",22,17,100,"F",12,14.8237435472369
"372",37,40,120,"F",30,29.480528049005
"373",46,40,140,"F",31,33.5813388538299
"374",50,75,160,"F",54,46.5465135603091
"375",73,86,180,"F",65,61.9948514008405
"376",91,103,200,"F",86,76.5745971585147
"377",131,108,220,"F",92,97.2288691886917
"378",125,135,240,"F",97,104.293698414279
"379",156,156,260,"F",128,126.894389882483
