"","motorists","cyclists","windowsize","showgame","count"
"477",120,142,220,"F",10
"478",156,125,240,"F",14
"479",173,160,260,"F",8
"480",191,174,280,"F",15
"481",26,29,100,"F",5
"482",41,25,120,"F",3
"483",54,57,140,"F",9
"484",77,50,160,"F",10
"485",65,83,180,"F",14
"486",105,98,200,"F",8
"487",127,135,220,"F",6
"488",169,143,240,"F",15
"489",162,184,260,"F",14
"490",190,211,280,"F",15
"491",29,19,100,"F",6
"492",41,38,120,"F",6
"493",46,51,140,"F",4
"494",54,69,160,"F",9
"495",81,72,180,"F",11
"496",110,101,200,"F",13
"497",114,121,220,"F",12
"498",138,146,240,"F",7
"499",161,162,260,"F",13
"500",182,207,280,"F",21
