"","motorists","cyclists","windowsize","showgame","count"
"361",51,53,100,"F",28
"362",74,74,120,"F",52
"363",78,97,140,"F",46
"364",129,128,160,"F",57
"365",171,151,180,"F",71
"366",209,201,200,"F",105
"367",230,226,220,"F",100
"368",273,278,240,"F",127
"369",362,320,260,"F",197
"370",409,381,280,"F",199
"371",49,58,100,"F",38
"372",66,80,120,"F",40
"373",114,115,140,"F",90
"374",130,143,160,"F",65
"375",148,143,180,"F",59
"376",207,199,200,"F",104
"377",254,228,220,"F",107
"378",311,335,240,"F",167
"379",338,303,260,"F",153
"380",372,404,280,"F",178
"381",48,47,100,"F",31
"382",70,73,120,"F",52
"383",104,91,140,"F",64
"384",144,116,160,"F",70
"385",164,156,180,"F",78
"386",200,188,200,"F",98
"387",274,227,220,"F",142
"388",258,284,240,"F",141
"389",327,350,260,"F",144
"390",391,381,280,"F",177
"391",43,52,100,"F",35
"392",88,92,120,"F",65
"393",85,122,140,"F",64
"394",142,122,160,"F",74
"395",149,168,180,"F",68
"396",198,202,200,"F",103
"397",258,241,220,"F",135
"398",285,293,240,"F",127
"399",360,336,260,"F",174
"400",380,371,280,"F",180
"401",48,48,100,"F",33
"402",94,70,120,"F",63
"403",89,79,140,"F",54
"404",132,128,160,"F",55
"405",171,168,180,"F",71
"406",201,207,200,"F",96
"407",252,241,220,"F",133
"408",325,277,240,"F",138
"409",316,310,260,"F",152
"410",443,392,280,"F",218
"411",39,49,100,"F",42
"412",80,85,120,"F",61
"413",103,85,140,"F",52
"414",139,140,160,"F",74
"415",177,150,180,"F",68
"416",219,206,200,"F",123
"417",251,223,220,"F",105
"418",279,298,240,"F",127
"419",346,314,260,"F",155
"420",382,366,280,"F",157
"421",50,52,100,"F",28
"422",60,64,120,"F",36
"423",88,116,140,"F",65
"424",121,140,160,"F",81
"425",164,155,180,"F",81
"426",197,219,200,"F",115
"427",223,235,220,"F",119
"428",272,286,240,"F",121
"429",335,326,260,"F",158
"430",408,372,280,"F",187
"431",48,52,100,"F",27
"432",61,72,120,"F",41
"433",109,98,140,"F",54
"434",141,113,160,"F",51
"435",159,151,180,"F",66
"436",196,204,200,"F",94
"437",242,227,220,"F",101
"438",316,283,240,"F",138
"439",349,348,260,"F",185
"440",417,392,280,"F",200
"441",41,55,100,"F",20
"442",67,60,120,"F",41
"443",109,105,140,"F",67
"444",141,132,160,"F",65
"445",172,180,180,"F",83
"446",201,189,200,"F",96
"447",248,241,220,"F",127
"448",294,302,240,"F",158
"449",340,344,260,"F",152
"450",402,388,280,"F",218
"451",37,45,100,"F",27
"452",64,87,120,"F",44
"453",106,98,140,"F",62
"454",134,123,160,"F",62
