"","motorists","cyclists","windowsize","showgame","count"
"398",151,144,240,"F",118
"399",165,180,260,"F",145
"400",164,196,280,"F",128
"401",29,26,100,"F",26
"402",19,33,120,"F",12
"403",51,58,140,"F",65
"404",62,67,160,"F",52
"405",87,86,180,"F",78
"406",85,97,200,"F",60
"407",128,123,220,"F",96
"408",153,164,240,"F",132
"409",183,146,260,"F",141
"410",186,202,280,"F",162
"411",29,31,100,"F",31
"412",24,30,120,"F",8
"413",47,38,140,"F",37
"414",56,57,160,"F",40
"415",79,78,180,"F",79
"416",95,113,200,"F",111
"417",115,138,220,"F",84
"418",159,131,240,"F",120
"419",173,175,260,"F",147
"420",202,195,280,"F",154
"421",22,31,100,"F",23
"422",36,37,120,"F",30
"423",47,58,140,"F",30
"424",64,62,160,"F",53
"425",79,78,180,"F",66
"426",112,102,200,"F",99
"427",147,117,220,"F",110
"428",147,144,240,"F",106
"429",156,171,260,"F",108
"430",218,182,280,"F",180
"431",23,27,100,"F",15
"432",27,42,120,"F",26
"433",57,62,140,"F",65
"434",59,49,160,"F",29
"435",96,81,180,"F",72
"436",100,110,200,"F",94
"437",119,135,220,"F",104
"438",135,146,240,"F",87
"439",185,142,260,"F",101
"440",211,203,280,"F",183
"441",16,21,100,"F",5
"442",46,37,120,"F",32
"443",30,49,140,"F",25
"444",60,73,160,"F",59
"445",88,74,180,"F",72
"446",104,96,200,"F",86
"447",124,131,220,"F",86
"448",156,162,240,"F",143
"449",178,163,260,"F",146
"450",185,184,280,"F",136
"451",23,33,100,"F",25
"452",29,36,120,"F",19
"453",54,41,140,"F",40
"454",58,62,160,"F",51
"455",84,89,180,"F",54
"456",96,90,200,"F",54
"457",120,133,220,"F",107
"458",152,148,240,"F",122
"459",168,180,260,"F",155
"460",183,180,280,"F",141
"461",21,22,100,"F",15
"462",42,37,120,"F",28
"463",48,56,140,"F",62
"464",70,73,160,"F",84
"465",83,77,180,"F",79
"466",105,103,200,"F",83
"467",94,133,220,"F",76
"468",142,148,240,"F",126
"469",161,187,260,"F",147
"470",193,187,280,"F",125
"471",29,15,100,"F",14
"472",29,32,120,"F",16
"473",57,50,140,"F",42
"474",77,56,160,"F",55
"475",94,81,180,"F",71
"476",91,82,200,"F",60
"477",119,117,220,"F",90
"478",147,111,240,"F",84
"479",192,165,260,"F",142
"480",197,224,280,"F",202
"481",20,21,100,"F",9
"482",44,43,120,"F",35
"483",60,53,140,"F",45
"484",64,65,160,"F",49
"485",82,72,180,"F",54
"486",98,89,200,"F",67
"487",123,129,220,"F",108
"488",145,133,240,"F",111
"489",170,170,260,"F",146
"490",194,185,280,"F",158
"491",24,22,100,"F",17
"492",40,45,120,"F",44
"493",51,52,140,"F",41
"494",54,58,160,"F",54
"495",93,84,180,"F",89
"496",77,87,200,"F",51
"497",130,124,220,"F",113
"498",151,164,240,"F",141
"499",158,182,260,"F",128
"500",214,180,280,"F",175
