"","motorists","cyclists","windowsize","showgame","count","pred"
"1",33,16,100,"F",9,17.9335314158716
"2",42,45,120,"F",44,34.4927526194106
"3",41,53,140,"F",38,37.0834573327068
"4",63,81,160,"F",82,57.1974536351615
"5",81,87,180,"F",74,67.2784451812273
"6",93,89,200,"F",64,72.9322822832765
"7",118,101,220,"F",80,87.6767854438966
"8",155,158,240,"F",147,126.563999431795
"9",189,173,260,"F",150,146.431066061699
"10",218,205,280,"F",187,171.640857596888
"11",21,22,100,"F",8,16.8678491281235
"12",40,27,120,"F",23,25.8614289047382
"13",40,48,140,"F",31,34.802990570732
"14",61,58,160,"F",31,47.3715548245613
"15",88,81,180,"F",53,67.581531033563
"16",106,93,200,"F",79,79.6413164614424
"17",119,103,220,"F",85,88.9424689447846
"18",129,135,240,"F",99,106.473783715528
"19",168,161,260,"F",125,133.04118822275
"20",194,182,280,"F",134,152.286457192371
"21",31,24,100,"F",22,21.4286297377632
"22",28,32,120,"F",15,23.6271347003059
"23",55,46,140,"F",48,39.912999841799
"24",67,69,160,"F",60,54.2977744742368
"25",81,92,180,"F",74,69.2470344854472
"26",87,106,200,"F",71,77.204518200684
"27",121,130,220,"F",114,101.135636110797
"28",148,153,240,"F",128,121.642112026881
"29",144,173,260,"F",124,127.844188287413
"30",198,198,280,"F",169,160.683801400269
"31",35,28,100,"F",20,24.6522150480653
"32",41,40,120,"F",28,32.0703342071727
"33",46,38,140,"F",31,33.0789867505832
"34",62,77,160,"F",57,55.2785370962508
"35",80,66,180,"F",60,57.9779056949377
"36",94,107,200,"F",70,80.6350651488857
"37",144,125,220,"F",134,108.103402785714
"38",135,164,240,"F",138,120.424500542624
"39",178,160,260,"F",137,136.497351527925
"40",200,202,280,"F",190,163.167596422494
"41",30,31,100,"F",28,24.05756634927
"42",43,43,120,"F",42,34.0909353825172
"43",55,58,140,"F",46,44.9853558924414
"44",66,60,160,"F",38,50.1412634723535
"45",78,71,180,"F",60,59.4486504376952
"46",92,92,200,"F",68,73.7916061835319
"47",119,122,220,"F",86,97.063259080003
