"","motorists","cyclists","windowsize","showgame","count","pred"
"48",145,150,240,"F",119,119.180665119742
"49",158,157,260,"F",107,127.362882518175
"50",194,200,280,"F",132,159.882302848586
"51",32,19,100,"F",17,19.2980733839896
"52",41,31,120,"F",25,28.1171360989457
"53",49,59,140,"F",48,42.8411226213392
"54",55,60,160,"F",41,45.7793864706904
"55",86,78,180,"F",62,65.5216625145486
"56",91,95,200,"F",61,74.6156701202823
"57",126,107,220,"F",82,93.3340953714322
"58",169,152,240,"F",154,129.532609048136
"59",173,168,260,"F",131,138.001394026398
"60",179,205,280,"F",136,155.557000408269
"61",14,31,100,"F",14,16.4447821299944
"62",32,41,120,"F",36,28.7018585833698
"63",55,64,140,"F",50,47.3299284949112
"64",59,48,160,"F",38,42.2545357895217
"65",97,96,180,"F",94,77.4496414837528
"66",104,101,200,"F",84,82.3200319072806
"67",132,126,220,"F",123,103.935107282386
"68",141,165,240,"F",131,123.453817739901
"69",158,208,260,"F",165,147.262670652604
"70",191,169,280,"F",106,145.435984847751
"71",31,23,100,"F",32,20.9630729789922
"72",38,31,120,"F",33,27.0706183096361
"73",56,42,140,"F",37,38.4264146471445
"74",72,79,160,"F",85,60.3560701105375
"75",85,80,180,"F",69,65.9969938819171
"76",98,94,200,"F",72,77.0058867596095
"77",136,119,220,"F",121,102.428870543644
"78",151,145,240,"F",132,119.50799054926
"79",188,147,260,"F",144,134.2701220675
"80",208,186,280,"F",174,159.455680760432
"81",32,34,100,"F",30,26.0584031105491
"82",33,48,120,"F",32,31.6164028427402
"83",48,62,140,"F",47,43.5018406167425
"84",58,51,160,"F",32,43.227095530177
"85",89,69,180,"F",59,62.565930327861
"86",95,98,200,"F",70,77.4683823362131
"87",123,135,220,"F",123,103.97225213649
"88",134,137,240,"F",109,109.340962690934
"89",185,142,260,"F",131,130.838479070838
"90",197,194,280,"F",153,158.598807161832
"91",36,28,100,"F",38,25.0013283213275
"92",37,35,120,"F",26,28.4393078398599
"93",49,43,140,"F",34,36.3878113307179
"94",65,66,160,"F",67,52.2695301706344
"95",79,84,180,"F",71,65.2514930428685
"96",102,69,200,"F",52,66.9721352937873
"97",108,113,220,"F",67,88.8896480388795
"98",130,132,240,"F",85,105.652456949009
"99",136,158,260,"F",86,118.566129925876
"100",186,192,280,"F",155,153.292571702353
"101",27,25,100,"F",25,20.4265446541254
"102",33,25,120,"F",15,22.5786568964661
"103",51,54,140,"F",42,41.752732535372
"104",55,73,160,"F",61,50.655640840078
"105",78,91,180,"F",64,67.5724730195691
"106",102,103,200,"F",102,82.3551971967205
"107",119,99,220,"F",70,87.1427088437623
"108",141,139,240,"F",112,112.997886152583
"109",162,166,260,"F",130,132.72632859087
"110",205,202,280,"F",170,165.191235939316
"111",27,24,100,"F",18,20.0006877251258
"112",34,50,120,"F",40,32.7743606744227
"113",39,38,140,"F",17,30.4624427943122
"114",62,54,160,"F",47,46.0283799685586
"115",90,67,180,"F",52,61.9679641578849
"116",98,86,200,"F",50,73.550721759638
"117",138,124,220,"F",121,105.393190309365
"118",149,160,240,"F",119,124.902482170887
"119",172,171,260,"F",126,138.865372896973
"120",209,189,280,"F",156,161.163289593808
"121",30,30,100,"F",23,23.65386269434
"122",23,29,120,"F",9,20.3564360203935
"123",33,44,140,"F",25,30.2280014946967
"124",66,55,160,"F",41,47.9393621952255
"125",67,96,180,"F",51,64.387788276618
"126",108,100,200,"F",81,83.4558754018505
"127",115,123,220,"F",91,95.8235618641557
"128",154,129,240,"F",101,113.619962752779
"129",180,140,260,"F",132,128.119814039575
"130",177,184,280,"F",116,146.295034310635
"131",33,23,100,"F",33,21.6276170422774
"132",49,31,120,"F",31,30.7335930364441
"133",55,61,140,"F",56,46.1715975086436
"134",58,71,160,"F",55,51.2760821321069
"135",83,71,180,"F",56,61.3213187116349
"136",91,95,200,"F",77,74.6156701202823
"137",121,126,220,"F",93,99.5174319676136
"138",123,157,240,"F",115,112.397487437077
"139",170,202,260,"F",163,150.453259987177
"140",205,216,280,"F",163,171.004290744836
"141",28,26,100,"F",16,21.22609357403
"142",42,41,120,"F",48,32.8747345234525
"143",51,44,140,"F",29,37.5648447021169
"144",66,68,160,"F",68,53.487187160545
"145",81,73,180,"F",62,61.4540192271196
"146",105,98,200,"F",102,81.4369460053544
"147",121,140,220,"F",117,105.078779437631
"148",138,136,240,"F",108,110.539479800222
"149",162,181,260,"F",139,138.78660520799
"150",192,201,280,"F",167,159.467351421515
"151",25,32,100,"F",16,22.32763102527
"152",28,32,120,"F",16,23.6271347003059
"153",42,45,140,"F",32,34.4927526194106
"154",72,70,160,"F",68,56.7035476175737
"155",88,81,180,"F",73,67.581531033563
"156",121,101,200,"F",97,88.7824868571559
"157",108,114,220,"F",86,89.2947715777457
"158",133,139,240,"F",103,109.750753197125
"159",158,172,260,"F",131,133.504425577445
"160",192,176,280,"F",136,148.902111657621
"161",28,26,100,"F",20,21.22609357403
"162",39,38,120,"F",23,30.4624427943122
"163",45,51,140,"F",43,38.0837086814606
"164",84,78,160,"F",78,64.7565578727089
"165",82,58,180,"F",38,54.9102801653416
"166",115,99,200,"F",96,85.6680230116987
"167",108,112,220,"F",83,88.4827859238693
"168",163,150,240,"F",139,126.349545494135
"169",177,177,260,"F",155,143.395642940473
"170",196,175,280,"F",132,150.000849135994
"171",23,18,100,"F",13,15.9148439804066
"172",39,35,120,"F",32,29.1965545428154
"173",47,45,140,"F",31,36.4847892141582
"174",67,68,160,"F",62,53.8902012609186
"175",77,103,180,"F",95,71.570988926608
"176",115,88,200,"F",84,80.6154830239274
"177",126,135,220,"F",113,105.230476036379
"178",122,133,240,"F",110,102.754831219867
"179",195,176,260,"F",171,150.058981218505
"180",176,206,280,"F",140,154.637976357235
"181",30,26,100,"F",28,21.9698437908886
"182",23,40,120,"F",20,24.0315938414273
"183",57,51,140,"F",42,42.8534427200063
"184",60,56,160,"F",47,46.1390642983585
"185",81,86,180,"F",72,66.8782137182979
"186",103,75,200,"F",74,70.2584574253064
"187",122,137,220,"F",118,104.338363472687
"188",162,144,240,"F",113,123.335930632726
"189",163,164,260,"F",129,132.304388312585
"190",208,205,280,"F",170,167.664423159976
"191",22,23,100,"F",15,17.664782797691
"192",32,40,120,"F",31,28.3384006051072
"193",41,53,140,"F",41,37.0834573327068
"194",57,66,160,"F",43,48.9526715311269
"195",69,73,180,"F",52,56.7269941307211
"196",109,100,200,"F",96,83.8407174976489
"197",105,119,220,"F",82,90.0202590054545
"198",138,153,240,"F",117,117.467493141682
"199",152,177,260,"F",128,132.900210163489
"200",181,201,280,"F",142,154.839439562795
"201",22,26,100,"F",14,18.8186643824948
"202",32,40,120,"F",28,28.3384006051072
"203",54,37,140,"F",39,35.3455877837541
"204",75,52,160,"F",53,49.6401445629268
"205",94,88,180,"F",74,72.8963368527573
"206",91,85,200,"F",55,70.4530107860691
"207",106,125,220,"F",95,92.7728314437313
"208",146,152,240,"F",134,120.410566269823
"209",165,173,260,"F",136,136.833660756037
"210",182,203,280,"F",169,156.061322403787
"211",32,26,100,"F",27,22.6891491233829
"212",31,39,120,"F",31,27.5307313822658
"213",48,35,140,"F",22,32.3851215110303
"214",55,65,160,"F",51,47.7101749019255
"215",72,86,180,"F",71,63.059511207707
"216",100,87,200,"F",75,74.7408348747331
"217",131,108,220,"F",99,95.6228812660073
"218",155,143,240,"F",140,120.213101106071
"219",157,157,260,"F",124,126.959860622741
"220",214,200,280,"F",163,167.907952322157
"221",19,26,100,"F",14,17.490683399658
"222",31,36,120,"F",25,26.4165871192111
"223",57,46,140,"F",45,40.6310136625364
"224",77,76,160,"F",65,61.1784423334234
"225",77,80,180,"F",66,62.8196432937901
"226",89,110,200,"F",73,79.5925660072378
"227",128,129,220,"F",103,103.601374314751
"228",140,125,240,"F",88,106.593869679622
"229",145,177,260,"F",122,129.80898840295
"230",194,190,280,"F",145,155.705281534511
"231",32,29,100,"F",30,24.0046017190794
"232",33,38,120,"F",25,28.0252335956081
"233",59,48,140,"F",57,42.2545357895217
"234",73,62,160,"F",56,53.6288201349353
"235",74,96,180,"F",77,67.6622390266523
"236",85,101,200,"F",77,74.4338696824204
"237",119,127,220,"F",96,99.0963869956669
"238",130,140,240,"F",102,108.910137868602
"239",166,170,260,"F",119,136.013456749764
"240",211,186,280,"F",168,160.599587673856
"241",20,25,100,"F",11,17.584723254083
"242",49,47,120,"F",59,38.0971880591521
"243",51,49,140,"F",52,39.7105859523671
"244",63,68,160,"F",66,52.259437688307
"245",74,82,180,"F",65,62.3756214345919
"246",97,90,200,"F",72,74.9123690284542
"247",122,123,220,"F",96,98.6920422986212
"248",144,146,240,"F",133,117.124360281817
"249",153,155,260,"F",107,124.50818432857
"250",189,202,280,"F",158,158.624434574664
"251",18,21,100,"F",13,15.2480527722305
"252",40,30,120,"F",25,27.3066469873068
"253",53,53,140,"F",54,42.1535594237822
"254",67,66,160,"F",70,53.066257780805
"255",102,87,180,"F",89,75.4833100245357
"256",84,120,200,"F",75,80.8799514175445
"257",98,129,220,"F",75,90.671175563797
"258",154,133,240,"F",108,115.424830681568
"259",164,162,260,"F",117,131.871188471833
"260",198,185,280,"F",148,155.149454315833
"261",34,23,100,"F",28,21.9523220087279
"262",35,35,120,"F",41,27.661268397387
"263",43,45,140,"F",43,34.9002876398916
"264",64,73,160,"F",54,54.6364108966534
"265",81,73,180,"F",53,61.4540192271196
"266",85,96,200,"F",69,72.5087333732871
"267",117,115,220,"F",82,93.3546605802479
"268",124,151,240,"F",82,110.605831826632
"269",168,162,260,"F",116,133.467032340101
"270",208,205,280,"F",187,167.664423159976
"271",15,23,100,"F",16,14.5908233749775
"272",33,31,120,"F",24,25.2298047360586
"273",44,52,140,"F",30,38.0381863395129
"274",65,45,160,"F",36,42.8946797762845
"275",85,90,180,"F",72,70.1333264839571
"276",95,88,200,"F",65,73.2824178236686
"277",117,135,220,"F",78,101.408823205811
"278",154,154,240,"F",116,124.49715869324
"279",147,188,260,"F",138,134.830649476482
"280",206,189,280,"F",177,160.004342772816
"281",21,37,100,"F",26,22.0590261157308
"282",36,38,120,"F",34,29.2693008931479
"283",37,36,140,"F",26,28.8558144696843
"284",58,68,160,"F",52,50.1462058686491
"285",94,80,180,"F",82,69.3972980842973
"286",106,91,200,"F",76,78.7527189524381
"287",121,125,220,"F",90,99.1090123639491
"288",138,151,240,"F",111,116.672473044543
"289",154,145,260,"F",110,120.687358783948
"290",200,189,280,"F",168,157.660807844183
"291",27,28,100,"F",21,21.6569243218946
"292",26,30,120,"F",17,22.0231473677202
"293",49,56,140,"F",49,41.7026596033181
"294",69,61,160,"F",61,51.7055138863546
"295",56,84,180,"F",45,54.9533529476354
"296",94,68,200,"F",55,63.8138613912336
"297",102,143,220,"F",90,97.5519489909821
"298",149,153,240,"F",147,122.051695266091
"299",177,172,260,"F",158,141.290535302397
"300",212,178,280,"F",154,157.367625952325
"301",31,22,100,"F",20,20.4876138175581
"302",41,34,120,"F",33,29.4900798498108
"303",52,37,140,"F",34,34.6859441776701
"304",61,72,160,"F",65,52.9642237008733
"305",91,70,180,"F",63,63.7354091033232
"306",105,89,200,"F",62,77.4871167258064
"307",143,126,220,"F",104,108.171946828139
"308",147,142,240,"F",109,116.65158969795
"309",191,155,260,"F",147,139.087914156573
"310",211,202,280,"F",161,167.587246175909
"311",30,21,100,"F",21,19.6768581464447
"312",32,39,120,"F",25,27.9705184985468
"313",51,61,140,"F",45,44.4637098545739
"314",64,63,160,"F",46,50.6361068263547
"315",71,70,180,"F",43,56.3090457900048
"316",97,112,200,"F",96,83.8631674782049
"317",111,121,220,"F",97,93.3518649920015
"318",134,136,240,"F",78,108.928321148205
"319",173,171,260,"F",137,139.267800265695
"320",187,185,280,"F",165,150.785276924153
"321",22,12,100,"F",9,12.6265128583014
"322",29,38,120,"F",25,26.2746876029221
"323",51,62,140,"F",44,44.8384285090616
"324",71,60,160,"F",43,52.0027509080371
"325",70,83,180,"F",53,61.0498886510438
"326",104,101,200,"F",73,82.3200319072806
"327",104,117,220,"F",77,88.8109622942359
"328",157,172,240,"F",156,133.081969634384
"329",179,167,260,"F",151,139.938285820793
"330",197,203,280,"F",161,162.354499393239
"331",31,24,100,"F",31,21.4286297377632
"332",40,42,120,"F",36,32.4852632269419
"333",46,46,140,"F",35,36.5069842872771
"334",71,60,160,"F",61,52.0027509080371
"335",82,78,180,"F",68,63.982274111398
"336",116,98,200,"F",95,85.5894293362696
"337",119,147,220,"F",113,106.86556272215
"338",149,143,240,"F",116,117.867271263057
"339",159,140,260,"F",121,120.426773796277
"340",193,214,280,"F",188,165.137335162761
"341",21,23,100,"F",22,17.2593038613624
"342",31,38,120,"F",22,27.1641122537731
"343",31,42,140,"F",25,28.6041178156483
"344",65,55,160,"F",35,47.5753981954526
"345",89,83,180,"F",78,68.8247793048614
"346",90,94,200,"F",64,73.8010688204145
"347",115,113,220,"F",96,91.7203556852307
"348",154,134,240,"F",108,115.871927233705
"349",169,197,260,"F",156,148.082823218147
"350",195,209,280,"F",158,163.976301213417
"351",28,24,100,"F",24,20.3670924071448
"352",34,36,120,"F",37,27.6631879015866
"353",44,44,140,"F",29,34.8960073292798
"354",70,79,160,"F",62,59.5132706829744
"355",75,91,180,"F",78,66.2624050553027
"356",114,100,200,"F",96,85.738937042422
"357",109,131,220,"F",89,96.3784135782324
"358",140,147,240,"F",117,115.89643860955
"359",174,165,260,"F",129,137.117931475044
"360",193,214,280,"F",177,165.137335162761
"361",34,28,100,"F",26,24.29806943909
"362",35,40,120,"F",27,29.6348179937273
"363",56,50,140,"F",45,42.0445798586089
"364",58,58,160,"F",42,46.193916583959
"365",81,72,180,"F",54,61.018090193983
"366",97,88,200,"F",65,74.0485212748413
"367",115,130,220,"F",98,98.6003974934525
"368",130,143,240,"F",104,110.108448113052
"369",155,164,260,"F",123,129.022165084912
"370",210,198,280,"F",181,165.473354027342
"371",18,31,100,"F",13,18.642764944229
"372",48,37,120,"F",49,33.3273777075001
"373",51,46,140,"F",36,38.4366177509707
"374",54,62,160,"F",35,46.1361868842121
"375",90,89,180,"F",81,71.7482531558767
"376",102,91,200,"F",69,77.2549811418128
"377",98,137,220,"F",85,93.5310092003632
"378",156,153,240,"F",136,124.881047685638
"379",150,159,260,"F",102,124.915369233368
"380",229,215,280,"F",190,180.288508032598
"381",24,21,100,"F",14,17.6027568805815
"382",39,30,120,"F",25,26.963716610031
"383",42,50,140,"F",30,36.4203162504366
"384",69,73,160,"F",75,56.7269941307211
"385",79,66,180,"F",47,57.6150021051343
"386",109,88,200,"F",65,78.4877692983003
"387",112,111,220,"F",75,89.6876459349584
"388",136,147,240,"F",113,114.231508511
"389",174,158,260,"F",129,134.084179861854
"390",220,199,280,"F",177,169.801798088247
"391",31,20,100,"F",17,19.5042042510984
"392",36,33,120,"F",36,27.2138833994923
"393",50,48,140,"F",35,38.9037645170115
"394",53,75,160,"F",55,50.4261685870454
"395",83,92,180,"F",75,70.0953127431804
"396",90,91,200,"F",69,72.5759117002784
"397",127,139,220,"F",95,107.250688103203
"398",151,144,240,"F",118,119.081904786895
"399",165,180,260,"F",145,139.663734121734
"400",164,196,280,"F",128,145.496764441981
"401",29,26,100,"F",26,21.6011805077226
"402",19,33,120,"F",12,19.78085339036
"403",51,58,140,"F",65,43.3213473224921
"404",62,67,160,"F",52,51.448809717697
"405",87,86,180,"F",78,69.3068532679204
"406",85,97,200,"F",60,72.8975728332778
"407",128,123,220,"F",96,101.085765927619
"408",153,164,240,"F",132,128.188434708936
"409",183,146,260,"F",141,132.009645981442
"410",186,202,280,"F",162,157.362551716834
"411",29,31,100,"F",31,23.653870197412
"412",24,30,120,"F",8,21.1605527262672
"413",47,38,140,"F",37,33.4360146245698
"414",56,57,160,"F",40,44.9861814579147
"415",79,78,180,"F",79,62.8028921861118
"416",95,113,200,"F",111,83.3771525783151
"417",115,138,220,"F",84,101.686742494949
"418",159,131,240,"F",120,116.366996400881
"419",173,175,260,"F",147,140.939735480724
"420",202,195,280,"F",154,161.02226060598
"421",22,31,100,"F",23,20.6069406453528
"422",36,37,120,"F",30,28.8692059710611
"423",47,58,140,"F",30,41.5905877320373
"424",64,62,160,"F",53,50.2196795664886
"425",79,78,180,"F",66,62.8028921861118
"426",112,102,200,"F",99,85.8577788145464
"427",147,117,220,"F",110,105.556407721582
"428",147,144,240,"F",106,117.496677145041
"429",156,171,260,"F",108,132.259543693331
"430",218,182,280,"F",180,161.416110863395
"431",23,27,100,"F",15,19.6193535303927
"432",27,42,120,"F",26,26.6980219960255
"433",57,62,140,"F",65,47.3983120253168
"434",59,49,160,"F",29,42.7066013442947
"435",96,81,180,"F",72,70.5815407351663
"436",100,110,200,"F",94,84.359841286144
"437",119,135,220,"F",104,102.27046263215
"438",135,146,240,"F",87,113.411211919243
"439",185,142,260,"F",101,130.838479070838
"440",211,203,280,"F",183,168.014919267112
"441",16,21,100,"F",5,14.3773988751601
"442",46,37,120,"F",32,32.6268155601949
"443",30,49,140,"F",25,30.4699636082458
"444",60,73,160,"F",59,52.9042938616512
"445",88,74,180,"F",72,64.5013849890741
"446",104,96,200,"F",86,80.1909301546794
"447",124,131,220,"F",86,102.785339740738
"448",156,162,240,"F",143,128.619913129563
"449",178,163,260,"F",146,137.812305461387
"450",185,184,280,"F",136,149.559146835052
"451",23,33,100,"F",25,21.7602406968392
"452",29,36,120,"F",19,25.5516384120463
"453",54,41,140,"F",40,37.2687180334729
"454",58,62,160,"F",51,47.8115929978941
"455",84,89,180,"F",54,69.3193429027216
"456",96,90,200,"F",54,74.5258594865299
"457",120,133,220,"F",107,101.910487630341
"458",152,148,240,"F",122,121.176394496933
"459",168,180,260,"F",155,140.925590383247
"460",183,180,280,"F",141,147.072043928463
"461",21,22,100,"F",15,16.8678491281235
"462",42,37,120,"F",28,31.1783414155183
"463",48,56,140,"F",62,41.2756307687398
"464",70,73,160,"F",84,57.1359024567188
"465",83,77,180,"F",79,63.9433281893947
"466",105,103,200,"F",83,83.5555284220726
"467",94,133,220,"F",76,90.2151900769944
"468",142,148,240,"F",126,117.129094287274
"469",161,187,260,"F",147,140.706730548933
"470",193,187,280,"F",125,154.033662418023
"471",29,15,100,"F",14,16.2625354960984
"472",29,32,120,"F",16,24.0446505034739
"473",57,50,140,"F",42,42.4176974767366
"474",77,56,160,"F",55,52.2575625755172
"475",94,81,180,"F",71,69.843659627099
"476",91,82,200,"F",60,69.1585113379582
"477",119,117,220,"F",90,94.9893942264184
"478",147,111,240,"F",84,102.72706004668
"479",192,165,260,"F",142,144.024035798174
"480",197,224,280,"F",202,170.816184393025
"481",20,21,100,"F",9,16.0714619931758
"482",44,43,120,"F",35,34.484409353435
"483",60,53,140,"F",45,44.8463910825792
"484",64,65,160,"F",49,51.4594757200349
"485",82,72,180,"F",54,61.3929682680985
"486",98,89,200,"F",67,74.8639273933242
"487",123,129,220,"F",108,101.56109215296
"488",145,133,240,"F",111,112.006818279857
"489",170,170,260,"F",146,137.639714972627
"490",194,185,280,"F",158,153.576877692155
"491",24,22,100,"F",17,18.0305030185569
"492",40,45,120,"F",44,33.6628346236491
"493",51,52,140,"F",41,40.9473367285505
"494",54,58,160,"F",54,44.5751968256968
"495",93,84,180,"F",89,70.7880472209294
"496",77,87,200,"F",51,65.5989582904537
"497",130,124,220,"F",113,102.297749317446
"498",151,164,240,"F",141,127.349228023103
"499",158,182,260,"F",128,137.455619221279
"500",214,180,280,"F",169,159.021339146404
